Area,Bedrooms,Bathrooms,Age,Parking,Location,Price
2203,5,1,5,2,Thane,22374000
3912,5,2,20,2,Mumbai,38796000
2632,2,3,23,0,Pune,24306000
2020,3,2,20,0,Thane,19060000
2429,1,3,6,0,Mumbai,25532000
2035,3,1,23,0,Mumbai,21930000
2180,4,4,5,1,Navi Mumbai,22790000
2151,3,4,3,1,Kalyan,21158000
3266,2,2,14,0,Mumbai,32028000
1807,1,3,8,0,Mumbai,20456000
2000,2,4,5,2,Mumbai,23350000
2840,1,3,19,2,Navi Mumbai,25770000
3485,1,4,30,2,Pune,30980000
3087,4,2,1,0,Thane,29046000
1441,2,4,22,2,Kalyan,14228000
1686,3,3,7,0,Mumbai,20538000
2209,5,4,4,0,Thane,22972000
615,4,1,9,2,Kalyan,8370000
2567,2,1,0,0,Pune,24336000
3214,3,1,15,0,Thane,28562000
3814,4,4,15,2,Thane,35162000
973,5,4,5,1,Navi Mumbai,13634000
2113,2,4,1,1,Navi Mumbai,21454000
2504,3,2,26,1,Kalyan,22232000
852,2,1,2,2,Thane,10216000
3910,5,4,24,2,Pune,36680000
2867,1,4,26,2,Navi Mumbai,25936000
2793,4,2,15,1,Mumbai,29394000
2217,1,2,3,1,Pune,21386000
1284,2,2,4,0,Navi Mumbai,13872000
920,4,2,26,2,Pune,11560000
3037,3,3,29,2,Mumbai,30646000
956,4,4,17,1,Thane,11998000
2728,4,1,25,2,Kalyan,24474000
3006,5,4,3,1,Pune,30298000
1207,5,1,29,0,Kalyan,12206000
3793,1,3,27,2,Thane,32594000
2283,3,4,20,1,Kalyan,21364000
3094,4,1,5,1,Navi Mumbai,29202000
1189,5,4,1,1,Thane,15162000
3428,2,1,23,1,Thane,29574000
2125,1,3,26,1,Thane,19100000
1748,4,1,27,0,Pune,17434000
1830,4,3,8,2,Navi Mumbai,19740000
3077,1,2,14,0,Navi Mumbai,27216000
3634,4,3,26,0,Kalyan,31872000
3841,2,1,9,2,Kalyan,33178000
2252,2,1,5,0,Pune,21566000
836,2,1,14,0,Thane,9088000
3486,2,3,11,1,Kalyan,30638000
2225,1,1,7,1,Navi Mumbai,20650000
3033,4,2,30,1,Kalyan,26764000
2858,3,3,5,1,Mumbai,30214000
1767,1,4,1,0,Kalyan,16986000
3794,2,2,20,0,Pune,33452000
1702,4,1,27,2,Mumbai,19966000
2541,2,2,19,0,Pune,23478000
1633,5,3,22,2,Thane,17564000
2335,4,3,14,1,Pune,23580000
2511,3,4,18,0,Mumbai,26888000
2695,3,3,9,2,Mumbai,28910000
2573,1,3,8,2,Thane,23784000
1734,3,3,6,0,Kalyan,17172000
3735,2,1,25,2,Navi Mumbai,32530000
3305,3,2,23,0,Navi Mumbai,29590000
1810,3,4,12,1,Mumbai,21780000
2988,5,2,10,2,Pune,29404000
3411,5,4,29,2,Thane,31738000
2677,3,2,26,2,Kalyan,23816000
1341,3,1,15,0,Thane,13578000
3570,5,2,30,2,Thane,32360000
3280,1,2,11,0,Thane,28590000
2322,3,3,8,2,Thane,22776000
2499,1,4,1,2,Kalyan,23242000
2976,5,1,15,0,Kalyan,27058000
1090,4,3,13,0,Pune,13470000
1162,2,3,13,2,Navi Mumbai,13146000
1186,3,2,24,0,Navi Mumbai,12588000
1962,2,3,20,0,Mumbai,21596000
2451,3,2,24,0,Kalyan,21708000
3731,2,4,25,0,Pune,33298000
3116,4,4,12,1,Navi Mumbai,29928000
2170,1,1,17,0,Thane,19110000
657,3,2,0,2,Mumbai,12756000
3166,2,2,22,1,Thane,27828000
1128,1,4,16,2,Thane,12124000
1284,1,1,9,1,Navi Mumbai,13022000
3581,5,3,13,2,Pune,34298000
2003,4,3,24,0,Pune,20224000
3925,4,1,7,0,Pune,35850000
1465,1,2,3,1,Mumbai,17870000
2136,3,1,19,0,Mumbai,22938000
3277,1,1,22,0,Navi Mumbai,28116000
2419,4,1,17,1,Navi Mumbai,23202000
3474,2,2,22,2,Mumbai,33692000
1833,4,1,21,2,Thane,18114000
3150,5,2,13,0,Kalyan,28850000
3544,5,1,9,0,Mumbai,35702000
2638,2,2,24,1,Kalyan,22904000
1426,3,4,9,0,Mumbai,18658000
2845,4,2,22,1,Thane,26260000
1560,1,1,21,0,Mumbai,17230000
2951,4,2,30,0,Kalyan,25908000
907,1,3,20,0,Navi Mumbai,9856000
1812,3,4,1,0,Pune,19646000
761,3,3,25,2,Thane,9438000
2344,1,1,27,0,Mumbai,23202000
1166,2,3,11,1,Kalyan,12078000
1698,1,3,26,1,Pune,16384000
1066,4,4,30,1,Thane,12228000
2179,4,4,20,0,Mumbai,24632000
1142,1,2,3,1,Kalyan,11486000
2577,5,4,5,2,Navi Mumbai,26666000
3791,3,1,27,2,Pune,33678000
2578,4,1,28,1,Navi Mumbai,23924000
788,1,3,20,1,Mumbai,11904000
3485,5,2,30,2,Thane,31680000
2726,5,1,13,2,Pune,26858000
2573,3,4,4,2,Kalyan,24684000
823,1,2,16,1,Navi Mumbai,9284000
1277,1,4,10,0,Thane,13216000
1739,1,2,17,2,Navi Mumbai,16762000
2251,2,1,14,1,Kalyan,20008000
2435,1,4,14,1,Mumbai,25680000
2637,1,1,12,1,Mumbai,26496000
2882,5,1,26,0,Kalyan,25756000
3135,3,2,20,2,Navi Mumbai,28780000
1996,3,1,26,0,Navi Mumbai,18668000
1959,5,4,22,2,Thane,20472000
3532,4,1,3,2,Pune,33306000
608,3,3,26,2,Thane,8164000
2843,5,3,22,0,Mumbai,30044000
1272,4,2,26,2,Navi Mumbai,14076000
1038,3,2,6,0,Navi Mumbai,12304000
1483,4,2,22,1,Mumbai,18564000
3701,4,1,29,2,Kalyan,32058000
1104,4,4,21,2,Kalyan,12582000
1151,4,1,16,2,Mumbai,16108000
2866,4,4,29,2,Pune,27578000
3433,5,2,23,0,Mumbai,34414000
2186,5,3,16,1,Navi Mumbai,22488000
3094,2,3,12,1,Thane,28052000
2454,2,2,13,2,Kalyan,22182000
1824,5,3,22,2,Kalyan,18492000
3191,2,2,6,2,Thane,29028000
3412,3,2,22,2,Pune,31196000
2663,5,3,22,0,Thane,25404000
2903,4,4,21,2,Kalyan,26974000
1771,4,1,16,0,Mumbai,20668000
2160,2,1,21,0,Pune,20030000
1693,2,3,21,1,Pune,17094000
854,3,2,24,2,Mumbai,13132000
2069,4,1,19,2,Kalyan,19502000
1518,5,4,7,2,Thane,17694000
3438,1,4,12,1,Thane,30604000
2861,1,1,23,1,Pune,25238000
3141,4,2,29,2,Thane,28478000
3692,5,2,24,2,Pune,34336000
1804,4,2,21,0,Pune,18482000
1311,5,1,12,0,Navi Mumbai,14888000
1743,5,3,4,0,Kalyan,18344000
1644,1,3,14,2,Pune,16752000
763,2,3,19,0,Kalyan,8254000
3311,3,4,25,2,Kalyan,29538000
2066,1,3,16,0,Pune,19628000
2732,1,2,13,2,Kalyan,23906000
2252,1,3,7,0,Thane,20866000
1956,3,3,6,2,Kalyan,19348000
2545,5,1,3,2,Thane,25210000
2425,2,2,30,0,Thane,21300000
2162,1,4,8,2,Thane,20796000
701,5,3,16,2,Navi Mumbai,10808000
2593,1,3,28,2,Pune,23644000
1912,5,1,30,0,Pune,19096000
3767,5,1,20,0,Pune,34436000
3345,2,4,26,0,Pune,30160000
2802,4,1,23,2,Pune,26466000
697,4,3,1,0,Mumbai,13426000
822,2,3,17,0,Kalyan,8826000
3965,2,3,13,1,Navi Mumbai,35370000
3181,4,4,10,0,Navi Mumbai,30348000
3357,1,1,20,2,Kalyan,28256000
859,5,1,22,0,Thane,10372000
2659,1,3,25,2,Thane,23622000
3084,1,3,24,1,Navi Mumbai,27272000
2218,1,4,5,2,Pune,22094000
1158,4,3,30,2,Pune,13564000
1820,3,1,17,2,Pune,18410000
1104,1,1,18,2,Navi Mumbai,11332000
2800,5,1,9,0,Thane,26550000
1467,4,2,5,0,Pune,16586000
3126,3,2,3,0,Kalyan,28158000
822,5,4,20,2,Mumbai,14676000
1790,1,3,3,0,Kalyan,16770000
2595,3,3,4,2,Pune,25860000
1009,3,1,28,0,Thane,10272000
2590,4,3,19,2,Thane,24870000
3440,5,2,18,2,Thane,31920000
3908,3,4,5,0,Thane,35514000
1608,2,4,8,1,Pune,17364000
3383,3,4,14,1,Thane,31064000
3773,3,4,17,0,Pune,34534000
3244,5,1,26,1,Pune,30152000
2806,2,3,23,2,Mumbai,28598000
3579,1,1,27,2,Mumbai,33482000
3928,5,4,24,2,Pune,36824000
750,5,3,17,2,Navi Mumbai,11150000
3278,2,3,12,0,Kalyan,28724000
3603,3,2,14,2,Kalyan,31824000
970,4,3,16,0,Pune,12360000
3903,5,2,24,2,Pune,36024000
2427,2,2,18,2,Pune,23016000
3614,4,3,1,0,Navi Mumbai,33962000
1549,1,3,11,0,Mumbai,18242000
3338,2,3,12,1,Navi Mumbai,30404000
790,1,3,3,2,Kalyan,9170000
3195,3,3,18,2,Kalyan,28660000
1312,4,4,11,2,Mumbai,18546000
2716,3,4,29,0,Kalyan,24178000
2262,3,3,15,1,Kalyan,21146000
627,5,2,14,0,Pune,9916000
915,5,3,6,0,Pune,12920000
1244,3,1,21,0,Navi Mumbai,12902000
3922,3,1,15,2,Navi Mumbai,35026000
2562,2,2,20,1,Mumbai,26296000
1598,1,2,18,2,Pune,15884000
1151,5,1,28,2,Pune,13508000
829,2,3,29,0,Kalyan,8282000
2260,5,1,28,2,Thane,21680000
951,2,4,19,1,Navi Mumbai,11258000
1298,2,4,19,0,Kalyan,12834000
3960,2,3,5,2,Thane,35530000
2457,5,1,7,1,Navi Mumbai,24506000
1141,1,1,6,2,Kalyan,11228000
3403,4,2,19,0,Pune,31374000
2549,5,1,28,2,Kalyan,23392000
3681,1,1,15,2,Pune,32398000
3071,5,1,28,2,Navi Mumbai,28568000
2738,4,3,27,0,Kalyan,24654000
2357,2,4,25,1,Thane,21806000
3012,5,1,13,0,Thane,28046000
2554,2,1,9,2,Kalyan,22882000
2273,3,2,0,2,Mumbai,25684000
2967,5,1,16,0,Navi Mumbai,27936000
3281,2,3,13,1,Mumbai,32698000
1233,4,3,8,2,Navi Mumbai,14964000
2912,3,3,21,1,Pune,27346000
2292,5,4,5,1,Kalyan,23186000
2872,4,3,9,2,Thane,27626000
3771,4,2,27,2,Mumbai,36818000
3663,2,4,25,2,Pune,33154000
1010,2,4,25,1,Kalyan,10430000
3115,1,2,12,2,Mumbai,30820000
3894,1,2,15,2,Navi Mumbai,34102000
961,1,3,7,1,Mumbai,13938000
3094,1,4,29,1,Kalyan,26402000
3287,5,3,22,2,Mumbai,33996000
3768,2,4,14,0,Pune,34144000
3290,5,3,6,0,Kalyan,30620000
2691,5,2,19,0,Mumbai,28678000
2073,2,1,5,0,Thane,19434000
3793,4,3,21,1,Navi Mumbai,34594000
3000,2,1,23,2,Mumbai,29550000
969,5,3,23,2,Kalyan,11602000
2025,3,3,7,2,Pune,21150000
2462,4,1,8,0,Navi Mumbai,23796000
2673,1,1,16,1,Thane,23384000
1079,5,3,28,2,Kalyan,12232000
1624,4,4,18,1,Pune,17992000
3702,3,4,21,1,Kalyan,32666000
712,4,1,8,0,Navi Mumbai,9796000
3195,2,2,25,1,Navi Mumbai,28310000
2046,5,1,22,1,Pune,20768000
1776,1,4,21,2,Thane,17058000
911,5,2,15,1,Thane,11638000
1495,5,3,5,2,Pune,18010000
2643,2,2,23,0,Thane,23394000
1446,2,2,26,0,Kalyan,13068000
2058,2,1,3,0,Navi Mumbai,19814000
3114,1,1,27,1,Thane,26362000
3142,3,4,28,2,Thane,28636000
2610,2,3,12,0,Kalyan,23380000
1125,1,4,15,2,Mumbai,15350000
2658,3,4,27,2,Pune,25514000
2472,1,4,10,2,Mumbai,26376000
648,2,4,18,0,Thane,8284000
2081,5,3,5,2,Thane,21998000
1571,3,4,30,2,Thane,15968000
2098,2,4,13,0,Navi Mumbai,20534000
3470,3,3,27,1,Thane,30810000
2446,2,2,18,2,Pune,23168000
3934,1,3,25,0,Kalyan,32822000
2370,4,2,4,2,Pune,24260000
2537,1,2,13,1,Pune,23446000
3183,5,3,25,1,Thane,29614000
1627,5,1,12,0,Pune,17716000
845,2,3,15,2,Mumbai,13310000
2442,3,3,11,1,Kalyan,22786000
2883,3,3,0,1,Mumbai,30664000
2038,5,2,18,2,Kalyan,20104000
1314,3,3,10,2,Kalyan,14012000
2596,4,1,12,2,Thane,24668000
2499,2,2,20,1,Navi Mumbai,22992000
3185,5,4,27,0,Mumbai,32830000
1263,3,2,10,1,Thane,13704000
3509,3,4,8,1,Thane,32372000
3663,5,4,13,0,Pune,34854000
694,2,2,21,1,Mumbai,11302000
1462,2,4,3,0,Mumbai,18746000
2538,5,1,0,1,Kalyan,24504000
3733,1,1,8,2,Pune,33164000
945,4,3,7,0,Thane,11910000
2415,2,2,16,0,Mumbai,25120000
743,3,3,27,1,Navi Mumbai,9394000
2814,3,4,4,2,Kalyan,26612000
1325,5,4,20,2,Kalyan,14900000
2381,5,3,29,1,Navi Mumbai,23398000
2810,2,1,14,1,Thane,25080000
2288,3,2,9,0,Mumbai,24954000
2743,2,3,9,1,Kalyan,24794000
634,4,4,9,0,Navi Mumbai,10022000
3868,3,2,25,0,Kalyan,32994000
2130,2,4,28,2,Navi Mumbai,20440000
2216,2,2,22,2,Navi Mumbai,20828000
3993,4,2,8,0,Navi Mumbai,36344000
